Frame,p1xaxis,p1yaxis,p2xaxis,p2yaxis,p3xaxis,p3yaxis,tree1,tree2,tree3,AB,BC
1,97,135,0,0,516,132,200,100,200,50,50
2,97,159,0,0,516,131,200,100,200,150,100
3,97,159,0,0,516,131,200,100,200,150,100
4,98,159,0,0,516,131,200,100,200,150,100
5,97,159,0,0,516,131,200,100,200,150,100
6,97,132,0,0,516,132,200,100,200,150,100
7,97,159,0,0,516,132,200,100,200,150,100
8,97,159,0,0,515,133,100,100,200,50,100
9,97,159,0,0,516,133,100,100,200,50,100
10,97,159,0,0,516,132,100,100,200,50,100
11,97,159,0,0,516,132,100,100,200,50,100
12,97,159,0,0,516,132,200,100,200,150,100
13,97,159,0,0,516,132,200,100,200,150,100
14,98,159,0,0,516,134,200,100,200,150,100
15,98,159,0,0,516,134,200,100,200,150,100
16,98,159,0,0,516,133,200,100,200,150,100
17,98,159,0,0,516,133,200,100,200,150,100
18,97,159,0,0,516,132,200,100,200,150,100
19,97,159,0,0,516,132,200,100,200,150,100
20,98,159,0,0,515,133,200,100,200,150,100
21,97,159,0,0,516,133,200,100,200,150,100
22,98,159,0,0,515,137,200,100,200,150,100
23,98,159,0,0,515,137,200,100,200,150,100
24,98,159,0,0,515,137,200,100,200,150,100
25,98,159,0,0,515,136,200,100,200,150,100
26,98,158,0,0,516,135,200,100,200,150,100
27,98,159,0,0,516,136,200,100,200,150,100
28,98,159,0,0,516,136,200,100,200,150,100
29,97,159,0,0,516,135,200,100,200,150,100
30,98,159,0,0,516,137,200,100,200,150,100
31,98,159,0,0,516,136,100,100,200,50,100
32,98,159,0,0,516,136,100,100,200,50,100
33,98,159,0,0,516,137,100,100,200,50,100
34,98,158,0,0,516,136,200,100,200,150,100
35,98,159,0,0,516,136,200,100,200,150,100
36,97,158,0,0,516,135,200,100,200,150,100
37,98,159,0,0,516,135,200,100,200,150,100
38,98,158,0,0,516,136,200,100,200,150,100
39,98,158,0,0,516,135,200,100,200,150,100
40,98,159,0,0,516,136,200,100,200,150,100
41,98,159,0,0,516,136,200,100,200,150,100
42,98,159,0,0,516,136,200,100,200,150,100
43,98,159,0,0,516,136,200,100,200,150,100
44,98,158,0,0,516,134,200,100,200,150,100
45,98,158,0,0,516,134,200,100,200,150,100
46,98,133,263,133,515,131,200,200,200,200,200
47,98,133,263,133,516,131,200,200,200,200,200
48,98,158,263,135,515,135,200,200,200,200,200
49,98,158,263,135,515,135,200,200,200,200,200
50,98,159,317,130,515,133,200,200,200,200,200
51,98,159,317,130,515,134,200,200,200,200,200
52,98,159,317,130,515,131,200,200,200,200,200
53,98,159,317,130,515,131,200,200,200,200,200
54,98,159,263,134,515,134,100,200,200,100,200
55,98,159,263,134,515,135,100,200,200,100,200
56,98,159,262,136,515,136,100,200,200,100,200
57,98,159,262,136,516,137,100,200,200,100,200
58,98,159,262,134,516,137,100,200,200,100,200
59,98,159,262,134,516,136,100,200,200,100,200
60,98,159,262,134,516,137,100,200,200,100,200
61,98,159,263,134,516,138,100,200,200,100,200
62,98,159,263,132,516,139,100,200,200,100,200
63,98,159,263,133,516,138,100,200,200,100,200
64,98,159,263,132,516,137,100,200,200,100,200
65,98,159,263,132,515,137,100,200,200,100,200
66,98,159,263,132,515,137,100,200,200,100,200
