Frame,p1xaxis,p1yaxis,p2xaxis,p2yaxis,p3xaxis,p3yaxis,tree1,tree2,tree3,AB,BC
131,97,274,351,272,513,241,200,200,200,200,200
132,97,273,352,272,513,241,200,200,200,200,200
133,97,273,351,272,514,242,100,200,200,100,200
134,97,273,351,273,514,242,100,200,200,100,200
135,96,243,351,271,513,241,200,200,200,200,200
136,96,243,350,271,513,241,200,200,200,200,200
137,96,244,353,271,515,242,200,200,200,200,200
138,97,243,353,272,514,242,200,200,200,200,200
139,96,243,353,272,516,243,200,200,200,200,200
140,96,243,353,272,516,243,200,200,200,200,200
141,97,243,352,272,515,243,200,200,200,200,200
142,97,243,352,273,516,243,200,200,200,200,200
143,96,244,353,273,516,243,200,200,200,200,200
144,96,243,353,273,516,243,200,200,200,200,200
145,96,242,351,241,514,240,200,200,200,200,200
146,97,242,351,241,514,240,200,200,200,200,200
147,97,241,351,271,514,239,200,200,200,200,200
148,97,242,351,271,515,239,200,200,200,200,200
149,95,243,351,273,512,242,200,200,200,200,200
150,95,243,351,273,512,242,200,200,200,200,200
151,96,243,351,272,516,242,200,200,200,200,200
152,96,243,352,273,516,242,200,200,200,200,200
153,96,242,351,273,514,240,200,200,200,200,200
154,96,242,352,272,514,240,200,200,200,200,200
155,96,242,350,242,512,241,200,200,200,200,200
156,96,242,350,242,512,241,200,200,100,150,50
157,95,242,349,241,512,241,200,200,100,150,50
158,95,242,349,241,512,241,200,200,100,150,50
159,96,243,351,272,513,240,200,200,200,200,200
160,96,243,351,272,512,240,200,200,200,200,200
161,95,243,349,241,513,239,200,200,200,200,200
162,95,243,352,272,513,239,200,200,200,200,200
163,95,243,351,241,512,240,200,200,200,200,200
164,95,243,351,241,513,240,200,200,200,200,200
165,96,244,350,241,511,240,200,200,200,200,200
166,96,243,351,241,511,240,200,200,100,150,50
167,96,243,350,241,513,241,200,200,200,200,200
168,96,243,351,273,512,241,200,200,200,200,200
169,96,242,350,241,513,239,200,200,200,200,200
170,96,241,350,241,513,239,200,200,200,200,200
171,96,242,351,241,514,240,200,200,200,200,200
172,96,242,351,241,513,241,200,200,200,200,200
173,96,243,350,240,513,240,200,200,200,200,200
174,96,243,350,241,513,241,200,200,200,200,200
175,96,243,350,241,514,241,200,200,200,200,200
176,96,243,350,241,514,241,200,200,200,200,200
177,96,242,351,241,514,241,200,200,200,200,200
178,96,243,350,241,514,241,200,200,200,200,200
179,96,242,349,240,514,240,200,200,200,200,200
180,96,242,349,241,513,240,200,200,200,200,200
181,96,244,350,241,512,242,200,200,200,200,200
182,95,243,350,241,512,242,200,200,200,200,200
183,96,242,351,241,512,241,200,200,200,200,200
184,96,243,351,241,512,241,200,200,200,200,200
185,96,242,352,272,512,242,200,200,200,200,200
186,96,242,352,273,512,242,200,200,200,200,200
187,95,242,350,242,511,241,200,200,200,200,200
188,96,242,350,242,511,242,200,200,200,200,200
189,96,244,352,273,511,242,200,200,100,150,50
190,96,243,352,273,511,242,200,200,100,150,50
191,95,244,350,242,511,240,200,200,200,200,200
192,95,244,350,242,511,240,200,200,200,200,200
193,96,243,350,242,511,240,200,200,100,150,50
194,96,243,350,241,511,240,200,200,100,150,50
195,95,243,349,241,511,240,200,200,100,150,50
196,95,243,349,242,511,240,200,200,100,150,50
197,96,243,349,241,485,240,200,200,200,200,200
198,96,244,349,241,485,240,200,200,100,150,50
199,95,242,349,242,485,240,200,200,100,150,50
200,95,243,349,242,485,240,200,200,100,150,50
201,96,242,349,241,485,240,200,200,100,150,50
202,96,242,349,241,485,240,200,200,100,150,50
203,95,242,464,242,485,240,200,200,100,150,50
204,95,242,464,242,485,240,200,200,100,150,50
205,95,241,347,241,485,240,200,200,100,150,50
206,95,240,347,241,485,240,200,200,100,150,50
207,94,241,463,240,485,240,200,200,100,150,50
208,94,240,347,239,484,239,200,200,200,200,200
209,94,240,348,238,484,238,200,200,200,200,200
210,94,240,348,238,484,238,100,200,200,100,200
211,94,240,349,238,484,206,100,200,200,100,200
212,94,240,349,237,484,206,100,200,200,100,200
213,94,240,323,238,484,206,100,200,200,100,200
214,94,240,323,239,484,206,100,200,200,100,200
215,94,240,465,238,484,206,100,200,100,100,150
216,94,240,466,238,484,206,100,200,100,100,150
217,94,240,465,238,484,206,100,200,100,100,150
218,94,240,465,238,484,206,100,200,100,100,150
219,94,240,464,239,484,206,100,200,100,100,150
220,94,240,465,239,484,206,100,200,100,100,150
221,94,240,464,239,484,206,100,200,100,100,150
222,94,240,464,239,484,206,100,200,100,100,150
223,94,240,465,239,484,206,100,200,100,100,150
224,94,240,464,239,484,206,100,200,100,100,150
225,94,240,464,237,484,206,100,200,100,100,150
226,94,240,464,237,484,206,100,200,100,100,150
227,94,240,462,238,484,206,100,200,100,100,150
228,94,240,462,238,484,206,100,200,100,100,150
229,94,240,462,239,484,206,100,200,100,100,150
230,94,240,463,239,484,206,100,200,100,100,150
231,94,240,463,238,484,206,100,200,100,100,150
232,94,240,462,238,484,206,100,200,100,100,150
233,94,240,463,238,484,206,100,200,100,100,150
234,94,240,463,238,484,206,100,200,100,100,150
235,94,240,463,239,484,206,100,200,100,100,150
236,94,240,463,239,484,206,100,200,100,100,150
237,94,240,463,239,484,206,100,200,100,100,150
238,94,240,464,239,484,206,100,200,100,100,150
239,94,240,462,238,484,206,100,200,100,100,150
240,94,240,463,238,484,206,100,200,100,100,150
241,94,240,461,239,484,206,100,200,100,100,150
242,94,240,462,239,484,206,100,200,100,100,150
243,94,240,462,239,484,206,100,200,100,100,150
244,94,240,462,239,484,206,100,200,100,100,150
245,94,240,462,240,484,206,100,200,100,100,150
246,94,240,462,240,484,206,100,200,100,100,150
247,94,240,462,240,484,206,100,200,100,100,150
248,94,240,462,240,484,206,100,200,100,100,150
249,94,240,462,239,484,206,100,200,100,100,150
250,94,240,462,239,484,206,100,200,100,100,150
251,94,240,463,239,484,206,100,200,100,100,150
252,44,240,463,239,484,206,200,200,100,150,50
253,44,240,463,205,484,206,100,200,100,100,150
254,44,240,463,205,484,206,100,200,100,100,150
255,44,240,462,206,484,206,100,200,100,100,150
